Parameter.groep,Parameter.code,Parameter.omschrijving,Grootheid.code,Eenheid.code
Biotaxon,,,AANTL,n
Biotaxon,,,AANTPVLME,n/l
Biotaxon,,,AANTPVLME,n/ml
Biotaxon,,,VOLMFTE,mm3/l
ChemischeStof,1112T4ClC2a,"1,1,1,2-tetrachloorethaan",CONCTTE,ug/l
ChemischeStof,111TClC2a,"1,1,1-trichloorethaan",CONCTTE,ug/l
ChemischeStof,1122T4ClC2a,"1,1,2,2-tetrachloorethaan",CONCTTE,ug/l
ChemischeStof,112TClC2a,"1,1,2-trichloorethaan",CONCTTE,ug/l
ChemischeStof,11DClC2a,"1,1-dichloorethaan",CONCTTE,ug/l
ChemischeStof,11DClC2e,"1,1-dichlooretheen",CONCTTE,ug/l
ChemischeStof,11DClC3a,"1,1-dichloorpropaan",CONCTTE,ug/l
ChemischeStof,11DClC3e,"1,1-dichloorpropeen",CONCTTE,ug/l
ChemischeStof,1234T4ClBen,"1,2,3,4-tetrachloorbenzeen",CONCTTE,ug/l
ChemischeStof,123TC1yBen,"1,2,3-trimethylbenzeen",CONCTTE,ug/l
ChemischeStof,123TClBen,"1,2,3-trichloorbenzeen",CONCTTE,ug/l
ChemischeStof,123TClC3a,"1,2,3-trichloorpropaan",CONCTTE,ug/l
ChemischeStof,123benztazl,"1,2,3-benzotriazool",CONCTTE,ng/l
ChemischeStof,123benztazl,"1,2,3-benzotriazool",CONCTTE,ug/l
ChemischeStof,124TC1yBen,"1,2,4-trimethylbenzeen",CONCTTE,ug/l
ChemischeStof,124TClBen,"1,2,4-trichloorbenzeen",CONCTTE,ug/l
ChemischeStof,12DBr3ClC3a,"1,2-dibroom-3-chloorpropaan",CONCTTE,ug/l
ChemischeStof,12DBrC2a,"1,2-dibroomethaan",CONCTTE,ug/l
ChemischeStof,12DClBen,"1,2-dichloorbenzeen",CONCTTE,ug/l
ChemischeStof,12DClC2a,"1,2-dichloorethaan",CONCTTE,ug/l
ChemischeStof,12DClC3a,"1,2-dichloorpropaan",CONCTTE,ug/l
ChemischeStof,12xyln,"1,2-xyleen",CONCTTE,ug/l
ChemischeStof,134DClFy3C1y,"1-(3,4-dichloorfenyl)-3-methylureum",CONCTTE,ug/l
ChemischeStof,134DClFyurum,"1-(3,4-dichloorfenyl)ureum",CONCTTE,ug/l
ChemischeStof,135TC1yBen,"1,3,5-trimethylbenzeen",CONCTTE,ug/l
ChemischeStof,135TClBen,"1,3,5-trichloorbenzeen",CONCTTE,ug/l
ChemischeStof,13DClBen,"1,3-dichloorbenzeen",CONCTTE,ug/l
ChemischeStof,13DClC3a,"1,3-dichloorpropaan",CONCTTE,ug/l
